,Phy,HBac
2024-10-10,711974.4206849104,1678363.9533521433
2024-10-11,669665.604675058,1666047.043042878
2024-10-12,673098.3530599053,1654339.757607146
2024-10-13,701668.0339496485,1645240.7388485346
2024-10-14,474527.6325519809,1636615.9228851253
2024-10-15,502560.260746617,1629594.303614202
2024-10-16,589032.6640055203,1622478.701563267
2024-10-17,582763.4333109569,1613771.8350937685
2024-10-18,316469.5826835008,1606651.582686676
2024-10-19,207452.01071460813,1598350.8067103778
2024-10-20,221396.34814256156,1593514.7897076905
2024-10-21,352772.65751537995,1590899.3314369058
2024-10-22,424436.5683076335,1591274.7685644103
2024-10-23,516075.1903397028,1590433.0999135226
2024-10-24,570406.7640301997,1588569.0907225376
2024-10-25,496658.3487079792,1584121.6592024306
2024-10-26,455952.2083053341,1577039.4802098703
2024-10-27,375652.71670678706,1570752.9729909615
2024-10-28,386758.04604492104,1563351.7376708335
2024-10-29,550188.9096387612,1555557.1985779232
2024-10-30,274798.63764408836,1546167.7006937463
2024-10-31,372802.39409967675,1534522.4404015935
2024-11-01,224738.24306956097,1523167.6887810223
2024-11-02,323083.13042284444,1511876.13637343
2024-11-03,410650.27375123603,1502432.5484048796
2024-11-04,364647.07996104663,1491586.3251756863
2024-11-05,435687.203949681,1479415.4721095033
2024-11-06,407980.9849797413,1469061.290892186
2024-11-07,406297.0639842006,1456222.1104176946
2024-11-08,314181.34229462454,1442329.8464022782
2024-11-09,247386.6490909556,1428635.5556891644
2024-11-10,278649.3789852592,1416805.3354316023
2024-11-11,297992.3405922209,1404373.8179592066
2024-11-12,281820.85501097783,1393183.1649002333
2024-11-13,229462.49998700497,1380558.7713651846
2024-11-14,288441.4032454621,1369135.5208753608
2024-11-15,400291.72443974135,1360162.3483829456
2024-11-16,163636.03044144722,1348330.223241522
2024-11-17,194096.83985080617,1332359.2751739223
2024-11-18,296169.8181822191,1319351.3914756516
2024-11-19,232245.48417548888,1305605.1251445054
2024-11-20,196871.0471604609,1289280.1706726714
2024-11-21,231945.11089913835,1276101.39989502
2024-11-22,167097.15717392194,1265146.1238359425
2024-11-23,194861.98852219037,1252209.1459852736
2024-11-24,178213.80260179596,1241486.5700734754
2024-11-25,203283.0593241663,1230485.9831834538
2024-11-26,291952.5565461009,1219557.7133356547
2024-11-27,256300.7346569877,1207560.7136530865
2024-11-28,287968.441335878,1194217.2676525097
2024-11-29,244987.38733930385,1180110.086997995
2024-11-30,210091.00714830932,1165630.6062026508
2024-12-01,308818.3777155089,1150604.986029551
2024-12-02,288726.30683412345,1135791.629080895
2024-12-03,329384.47541828034,1120936.9680773802
2024-12-04,342349.840301612,1105051.9228667743
2024-12-05,237853.76664615917,1088422.117879181
2024-12-06,206814.1930820291,1072257.979811344
2024-12-07,194428.8487982659,1055614.1560772867
2024-12-08,309505.1171681663,1040319.5057313248
2024-12-09,314627.9488686719,1025590.7961796839
2024-12-10,309138.31041599356,1010406.8592403327
2024-12-11,314223.9977032968,993258.1159423587
2024-12-12,188532.87983659067,976361.0072829882
2024-12-13,99062.270450757,961747.6564035612
2024-12-14,115811.63320104174,948181.3513101701
